also_sub_1,also_sub_2,also_sub_3,also_sub_4,also_sub_5,by,genre,more_by_1,more_by_2,more_by_3,more_by_4,more_by_5,num_ratings,podcast_name,rating,show_desc,subgenre,website
PleasureTown,King Falls AM,Wormwood: A Serialized Mystery,Our Fair City,The Cleansed: A Post-Apocalyptic Saga,Definitely Human,Arts,MarsCorp,,,,,92,The Bunker,4.33695,"The Bunker is a breakfast radio show for the post-apocalypse generation! One hundred years after a vague cataclysmic event, Tom, Dave and David decide to host a one hour radio programme from their underground bunker, complete with guests, interviews, short stories and music. They also have to deal with the possibility of starvation, madness, monsters- both metaphorical and literal- and, worst of all, each other. The Bunker has a beginning and an end, so be sure to listen to episode one first!",Performing Arts,http://thebunkerpodcast.com/
Porchlight Storytelling Series,This Is Actually Happening,2nd Story,It's All True!,UnFictional,Shannon Cason,Arts,This American Life,Serial,Sound Opinions,Filmspotting,Making Oprah,371,Homemade Stories,4.78705,Short stories and commentary shared by writer/storyteller Shannon Cason.,Performing Arts,http://www.shannoncason.com/
inner sanctum,Lux Radio Theater,Zero Hour,Down These Mean Streets (Old Time Radio Detectives),lux radio theatre,RelicRadio.com,Arts,The Horror! (Old Time Radio),Strange Tales (Old Time Radio),Case Closed! (old time radio),Relic Radio Sci-Fi (old time radio),Relic Radio Thrillers (Old Time Radio),42,Orson Welles On The Air,4.38095,"Orson Welles had quite a career in radio, from his days as The Shadow and his Mercury Theatre On The Air, to the radio version of his Third Man character from the movie, and beyond. This podcast will replay his radio performances from his various series and guest appearances.",Performing Arts,http://www.relicradio.com/otr
Moonlight Audio Theatre,Incomparable Radio Theater,Our Fair City,Fireside Mystery Theatre,Decoder Ring Theatre,Radio Drama Revival / Wondery,Arts,,,,,,41,Radio Drama Revival,4.43902,"Radio Drama Revival is dedicated to showcasing the diversity and vitality of modern audio drama. Twice a month, host David Rheinstrom showcases a piece of top-quality audio fiction, made by independent and professional producers alike. We cover all genres, from historical epics to science fiction, from spine-tingling horror and suspense to wacky situation comedies, from intimate dramas to experimental sound art. It's all here.",Performing Arts,http://www.radiodramarevival.com/
TBTL- Too Beautiful to Live,After These Messages Podcast,2nd Story,Ask Roulette,Porchlight Storytelling Series,info@livewireradio.org (Live Wire! Radio),Arts,,,,,,75,Live Wire Radio,4.48,"Live Wire is radio variety for the attention span challenged. It's music from up-and-coming bands, original comedy, performance and scintillating interviews with writers, filmmakers, comedians and people who think cool thoughts. Hosted by Luke Burbank (Wait Wait Don't Tell Me, Too Beautiful to Live), the show is taped in front of a live audience in Portland, Oregon and is aired on public radio stations around the country.",Performing Arts,http://www.livewireradio.org/
Gunsmoke - OTRWesterns.com,tales of the texas rangers,six shooter,Old Time Gunsmoke Radio,Gunsmoke Podcast,www.botar.us,Arts,,,,,,10,gunsmoke,5.0,"Airing on the CBS network on April 26, 1952, Gunsmoke was the first and greatest adult Western, it told the story of the violence that moved west with young America, and the story of a man who moved with it. That man was Matt Dillon, U.S. Marshal of Dodge City, Kansas. In Dodge, Dillon was surrounded by hardened, but heartfelt, townsfolk, including his deputy, Chester Wesley Proudfoot; the town physician and mortician, Dr. Charles Adams and, the owner of the Long Branch Saloon, Miss Kitty Russell. Gunsmoke aired for over 9 years and 480 episodes, starred William Conrad, Parley Baer, Georgia Ellis and Howard McNear.",Performing Arts,http://www.botar.us/gunsmoke.html
CANADALAND,Grownups Read Things They Wrote as Kids,Today in Canadian History,COMMONS,Colour Code,CBC Radio,Arts,Someone Knows Something,Love Me,Missing & Murdered: Who Killed Alberta Williams?,Vinyl Cafe Stories from CBC Radio,Quirks and Quarks Complete Show from CBC Radio,52,Q: The Podcast from CBC Radio,4.84615,"Get ready to meet the artists you're talking about, and the ones you'll soon love. Whatever you're into -- be it music, TV, film, visual art, theatre, or comedy -- q is there. Expect deep insight, and big surprises. Because on q, arts and entertainment get personal.",Performing Arts,http://www.cbc.ca/podcasting
Old Time Western Radio,Westerns OTR,Case Closed! (old time radio),Relic Radio (old time radio),Gunsmoke Podcast,Andrew Rhynes,Arts,Gunsmoke - OTRWesterns.com,Challenge of the Yukon - OTRWesterns.com,Tales of the Texas Rangers - OTRWesterns.com,Have Gun Will Travel - OTRWesterns.com,,96,Old Time Radio Westerns,4.63542,"First of its kind to bring you Old Time Radio Westerns Daily. Westerns that include The Lone Ranger, Cisco Kid, Challenge of the Yukon, Have Gun Will Travel, The Six Shooter, Tales of the Texas Rangers, Gunsmoke, Hopalong Cassidy, and even the Roy Rogers Show.",Performing Arts,http://www.otrwesterns.com/
Moonlight Audio Theatre,The Sonic Society,Darker Projects: The Byron Chronicles,ILLUSIONOID,Edict Zero - FIS,Julie Hoverson,Arts,,,,,,49,19 Nocturne Boulevard,4.14286,"Award-winning anthology series of audio dramas, in the realm of the strange, speculative, and supernatural. Some episodes include more mature content, but have warning labels.",Performing Arts,http://nineteennocturne.libsyn.com/
"EOS 10, a scifi radio play",ars PARADOXICA,Wolf 359,Wormwood: A Serialized Mystery,SAYER,HartLife,Arts,,,,,,175,Our Fair City,4.76,"Our Fair City is a campy, post-apocalyptic audio drama, produced by HartLife NFP in Chicago, IL. Learn more at www.ourfaircity.com",Performing Arts,http://www.ourfaircity.com/
box 13,Zero Hour,ESCAPE Podcast,Old Time Suspense Radio,Horror In The Air,www.botar.us,Arts,,,,,,30,inner sanctum,4.8,"Taking its name from a popular series of mystery novels, Inner Sanctum Mysteries debuted over NBC's Blue Network in January 1941. Last broadcast October 5, 1952. Inner Sanctum Mysteries featured one of the most memorable and atmospheric openings in radio history: an organist hit a dissonant chord, a doorknob turned and the famous ""creaking door"" slowly began to open. Every week, Inner Sanctum Mysteries told stories of ghosts, murderers and lunatics. Produced in New York, the cast usually consisted of veteran radio actors, with occasional guest appearances by such Hollywood stars Boris Karloff, Frank Sinatra, Orson Welles and Peter Lorre.",Performing Arts,http://www.botar.us/innersanctum.html
Lux Radio Theater,Academy Award Theater,box 13,Thin Man – The Great Detectives of Old Time Radio,ESCAPE Podcast,www.botar.us,Arts,,,,,,28,lux radio theatre,4.35714,"Lux Radio Theatre 1934-1955 This was one of few sixty-minute broadcasts and was the most important dramatic show in radio. The 931 episodes broadcast were all based on popular films with the biggest stars of Hollywood playing the parts and during its heyday the audience was estimated as high as forty million. The one-and-only Cecil B. DeMille was your host (1936-45) for a lavish production of what was to become a veritable film checklist of many of Hollywoods best films from the mid-30s right through the mid 50s. Every genre is included, from darkest noir crime dramas to historical epics to bubbly musicals and broad comedies. There are some titles that are less known today, and that makes them even more historical. The stars of the movie are usually in the productions, although sometimes contracts or schedules meant that another star took the part. In some another star would be featured in one of the major roles. The productions were live, with full orchestra, and many Hollywood legends were unused to performing in public without the benefit of retakes. Needless to say, the performances in every show are singular. The Lux Radio Theatre is a masterpiece in OTRs crown, and each show is a historical time capsule that takes us back to the glamour of the Golden Age of Hollywood.",Performing Arts,http://www.botar.us/luxradiotheatre.html
The Wicked Library,"The Lift, An Audio Drama",Tales To Terrify,Uncanny County,Small Town Horror,The Simply Scary Podcast,Arts,,,,,,94,The Simply Scary Podcast,4.8617,"The Simply Scary Podcast is a 60+ minute-long horror-themed audio storytelling podcast, hosted by voice actor G.M. Danielson, spun off from the Simply Scary series as featured on its predecessor Chilling Tales for Dark Nights? and its popular YouTube channel of the same name. The show features a myriad of talented vocal performers and the work of dozens of independent and previously-published contributing authors.",Performing Arts,http://www.simplyscarypodcast.com/
Doctor Who » The BrokenSea Series – Podcast Feed,Star Trek: Lost Frontier,Doctor Who: Podshock,Star Trek: The Section 31 Files,Doctor Who: Infinity Doctors,DarkerProjects.com,Arts,,,,,,52,Doctor Who: Time Tales,4.17307,"For over 40 years, the BBC's legendary Time Lord has roamed through time and space. Now he makes his fan home at Darker Projects. Combining elements of his TV predecessors with a flair all his own, the Doctor and his companions try to maintain order in a reality rife with chaos. Villains both new and old arise to challenge them in this exciting portrayal that will intrigue both veteran fans and curious newcomers.",Performing Arts,http://doctorwhotimetales.blogspot.com/
Chop Bard,BardCast: The Shakespeare Podcast,Folger Shakespeare Library: Shakespeare Unlimited,American Shakespeare Center Podcast Central,Shakespeare-upon-iPod,Reduced Shakespeare Company Podcast,Arts,,,,,,70,Reduced Shakespeare Company Podcast,4.95714,"""A bright, breezy, and entertaining affair, well stocked with interviews, features, and excerpts from the shows!"" So said The Telegraph (UK) when it named the RSC Podcast one of its Top Podcasts. Backstage drama. Touring trauma. Famous Guests. Infamous quests. Literary analysis. No urinalysis. All this and less ? on the Reduced Shakespeare Company Podcast. Find old podcast episodes here. It?s ?All Things Reduced? every Monday ? and it?s free!",Performing Arts,http://www.reducedshakespeare.com/
Theater People,The Ensemblist,BroadwayCon: The Podcast,Broadway Stories,The Hamilcast: A Hamilton Podcast,TodayTix and Theater People,Arts,,,,,,90,Broadway Backstory,4.98888,"Broadway Backstory is a documentary style podcast from TodayTix and Theater People that explores how a show develops from an idea to a full Broadway production. We get the behind the scenes story directly from the people who lived it - the conceivers, actors, directors, and producers. Season one will feature stories from Lin-Manuel Miranda?s In the Heights, Fun Home, The 25th Annual Putnam County Spelling Bee, The Secret Garden, Legally Blonde, and the Deaf West production of Spring Awakening. Some shows are gone too soon, others seem like they?ll last forever ? either way, it all started with an idea.",Performing Arts,https://www.todaytix.com/broadwaybackstory
The Byron Chronicles –,James Durham Audiobooks - FETIDUS,Darker Projects: Autumn,The Heavenfield - Official,Darker Projects: Alive Inside,DarkerProjects.com,Arts,,,,,,136,Darker Projects: The Byron Chronicles,4.44118,"Imagine if the world as you know it... was nothing more than an illusion. What if creatures like elves, dragons, vampire, zombies and werewolves walk amongst you every day... But you never see them. This is the world I walk in. I am called Byron and these are my chronicles.",Performing Arts,http://thebyronchronicles.blogspot.com/
Broadway Backstory,The Ensemblist,BroadwayRadio,BroadwayCon: The Podcast,"Broadway Bullet: Theatre from Broadway, Off-Broadway and beyond.",Patrick Hinds and Mike Jensen,Arts,,,,,,430,Theater People,4.96279,"Interviews with Tony Winners, Broadway Legends, and Today's Hottest Theater Stars. Brought to you biweekly by Patrick Hinds and Mike Jensen.",Performing Arts,http://www.theaterppl.com/
Star Trek: The Section 31 Files,Starship Excelsior,Star Trek: Outpost,Star Trek: Lost Enterprise,Hidden Frontier Productions,DarkerProjects.com,Arts,,,,,,89,Star Trek: Lost Frontier,4.21347,A Star Trek audio fan fiction series from DarkerProjects.com - Audio Theater in a Darker Shade. It's the dawn of the 25th century ... and everything has changed.,Performing Arts,http://star-trek-lost-frontier.blogspot.com/
The Hamilcast: A Hamilton Podcast,Hamilton The Podcast,Pod4Ham - a podcast about the musical Hamilton,The Room Where It's Happening: A Hamilton Fan Podcast,Broadway Backstory,Graphomania,Arts,,,,,,72,Hamilton the Podcast,4.66667,"Join Robbie Hurlocker and Vinton Bayne as they discuss Hamilton, a hip hop musical based on the life and times of the first treasury secretary of america.",Performing Arts,http://graphocast.com/?cat=14
2nd Story,State of the Human,True Story,The Stoop Storytelling Series,I Love A Good Story Podcast,Porchlight,Arts,,,,,,58,Porchlight Storytelling Series,3.96552,"Selected stories from Porchlight, San Francisco's longest-running storytelling series, hosted by Arline Klatte and Beth Lisick. Co-founders Beth Lisick and Arline Klatte invite six people from different backgrounds to tell ten-minute true stories without using notes or memorization.",Performing Arts,http://porchlight.libsyn.com/
The Bridge,"EOS 10, a scifi radio play",Kakos Industries,Wolf 359,ars PARADOXICA,Sophie Kaner and Kevin Vibert,Arts,,,,,,160,The Penumbra Podcast,4.94998,"Depending on who you ask, the Penumbra is either the grandest hotel this side of Nowhere or a twice-monthly podcast series. Each episode takes the form of a 30-50 minute radio play. The Penumbra is all about stories you recognize told in ways you won?t expect. Your femme fatale might be an homme fatale; you might find that not every haunting needs a ghost. Your criminal underworld might advertise on billboards ten miles tall, and when push comes to shove your home might have a bit more heart than you?re comfortable with. It?s never just a heist, a Western, an adventure. It?s the parts we think are still fresh about those genres ? along with what we keep locked behind our doors. And what?s behind those doors, you ask? Well... see for yourself. The Penumbra is created and produced by Sophie Kaner and Kevin Vibert. Follow us on twitter at @thepenumbrapod.",Performing Arts,http://thepenumbrapodcast.com/
Kakos Industries,"EOS 10, a scifi radio play",Wolf 359,Our Fair City,ars PARADOXICA,Adam Bash,Arts,,,,,,126,SAYER,4.92063,"SAYER is a narrative fiction podcast set on Earth?s man-made second moon, Typhon. The eponymous SAYER is a highly advanced, self-aware AI created to help acclimate new residents to their new lives, and their new employment with ?rolith Dynamics. New episodes release every other week.",Performing Arts,http://geeklyinc.com/category/sayer/
Simply Scottish,Celtic Roots Radio - Irish music podcast,Fiddle Hangout Top 100 Celtic/Irish Songs,Scottish History,Free Celtic MP3s –,info@handsupfortrad.co.uk,Arts,,,,,,26,Foot Stompin Free Scottish Music Podcast,4.76923,"Our regular free Scottish music podcast from Scotland featuring the very best of Gaelic, Scots, bagpipes, fiddle, harp music, Scottish bands, ceilidh bands, highland Scottish music, pipe band, traditional, folk and celtic. Visit Foot Stompin for all things Scottish. www.handsupfortrad.co.uk",Performing Arts,https://projects.handsupfortrad.scot/scotpodcast/
National Gallery of Art | Videos,MoMA Talks: Conversations,National Gallery of Art | Audio,MoMA Talks: Panel Discussions and Symposia,Artists,Tate,Arts,Tate Events,Infrequency | Tate,,,,11,TateShots,4.63636,"TateShots presents a selection of short videos, with a focus on modern and contemporary art. Send feedback to tateshots@tate.org.uk.",Performing Arts,http://www.tate.org.uk/about/our-work/media/podcast-directory
The Story of Music Question Time,Music Therapy Round Table,Braincast - on the frequency of Mind and Brain,Music Therapy Research Blog,Music and the Brain Symposium,Library of Congress,Arts,"Voices from the Days of Slavery: Stories, Songs and Memories",2009 National Book Festival Podcast,Digital Preservation,2008 National Book Festival Podcast,,18,Music and the Brain,4.33333,"The Library's Music and the Brain events offer lectures, conversations and symposia about the explosion of new research at the intersection of cognitive neuroscience and music. Project chair Kay Redfield Jamison convenes scientists and scholars, composers, performers, theorists, physicians, psychologists, and other experts at the Library for a compelling 2-year series, with generous support from the Dana Foundation.",Performing Arts,http://www.loc.gov/podcasts/musicandthebrain/
ATW - Working In The Theatre,The Producer's Perspective Podcast with Ken Davenport,BroadwayRadio,Maxamoo's New York City Theater Podcast,ATW - In The Wings,American Theatre Wing,Arts,,,,,,37,ATW - Downstage Center,4.91892,"The American Theatre Wing presents Downstage Center a weekly theatrical interview show, featuring the top artists working in theatre, both on and Off-Broadway and around the country.",Performing Arts,http://americantheatrewing.org/downstagecenter/index.php
Hotline Monday,JuRY,Hypothetical Help,FSL Tonight,The Movielicious,Scott Johnson,Arts,The Instance: The Podcast for Lovers of Blizzard Games,Film Sack,The FrogPants Studios Ultra Feed!,Critical Hit: A Dungeons and Dragons Campaign,The Morning Stream,73,Diary of a Cartoonist,4.36986,Scott Johnson talks about his life!,Performing Arts,http://myextralife.com/
ars PARADOXICA,Wolf 359,"EOS 10, a scifi radio play",Our Fair City,The Penumbra Podcast,Audioscribble,Arts,,,,,,128,Wooden Overcoats,4.95312,"Prix Europa 2016 Nominee - Start with Season 1 Episode 1 || On the overlooked Channel Island of Piffling, obstinate undertaker Rudyard Funn runs his family?s failing funeral parlour. But when new and sexy undertaker Eric Chapman sets up shop across the square and becomes an immediate sensation, Rudyard realises he?ll have to take drastic steps to stay in business. || Become a Piffling Islander! Find Wooden Overcoats on Twitter, Facebook, Tumblr and Instagram to see what other listeners are saying, and let us know what you think. Or e-mail us on hello@woodenovercoats.com. We love hearing from you.",Performing Arts,http://www.woodenovercoats.com/episodes/
Science and Creativity from Studio 360,PRI: Arts and Entertainment,Studio 360 with Kurt Andersen,The Takeaway,Art Talk,WNYC Studios,Arts,Radiolab,Freakonomics Radio,Radiolab Presents: More Perfect,On the Media,Snap Judgment,22,Fishko Files from WNYC,4.77273,"From WNYC, New York Public Radio, join WNYC's cultural attache? Sara Fishko for her personal radio essays on music, art, culture and media.",Performing Arts,http://www.wnyc.org/shows/fishko
Selected Shorts,2nd Story,The New Yorker: The Writer's Voice - New Fiction from The New Yorker,TMZ Behind The Bar,"Selected Short Stories. by WODEHOUSE, P. G.",Symphony Space / Panoply,Arts,,,,,,17,Selected Shorts: Too Hot For Radio,4.0,"Over the years, Selected Shorts has had to say no to some amazing stories that, due to language issues or content advisories were, well, too hot for radio. But no more!",Performing Arts,https://itunes.apple.com/us/podcast/selected-shorts-too-hot-for-radio/www.symphonyspace.org
The Frank Skinner Show,Page 94: The Private Eye Podcast,NHS Couch to 5K,Dan Snow's HISTORY HIT,Alan Davies As Yet Untitled,BBC Radio 4,Arts,Global News Podcast,In Our Time,The Documentary,A History of the World in 100 Objects,Friday Night Comedy from BBC Radio 4,60,The Archers Omnibus,4.76667,The week's events in Ambridge,Performing Arts,http://www.bbc.co.uk/programmes/b006qnkc
Old Time Mystery Radio,Case Closed! (old time radio),Down These Mean Streets (Old Time Radio Detectives),Boxcars711 Old Time Radio Pod,Sherlock Holmes Adventures,Adam Graham,Arts,Podcast – The Great Detectives of Old Time Radio,Yours Truly Johnny Dollar – The Great Detectives of Old Time Radio,Nero Wolfe – The Great Detectives of Old Time Radio,Video Theater – The Great Detectives of Old Time Radio,,37,Sherlock Holmes ? The Great Detectives of Old Time Radio,4.3243,"Follow Sherlock Holmes in many old time radio incarnations including Basil Rathbone, Orson Welles, Tom conway, and more. Also enjoy some high quality public domain Holmes movies.",Performing Arts,http://www.greatdetectives.net/detectives
Porchlight Storytelling Series,Story Worthy,I Love A Good Story Podcast,The Stoop Storytelling Series,True Story,2nd Story,Arts,,,,,,56,2nd Story,4.78571,"2nd Story is a collective of story-makers and story-lovers working together to build community through the power of storytelling. We host events (around Chicago and beyond) that fuse page, stage, and sound to deliver a unique, live, literary/theatrical experience.",Performing Arts,http://2ndstory.com/
Once Upon a Time in Vegas by Pendant Productions,Tabula Rasa by Pendant Productions,Genesis Avalon by Pendant Productions,Seminar: An original anthology show by Pendant Productions,The Line by Pendant Productions,Pendant Productions,Arts,,,,,,20,The Kingery by Pendant Productions,4.8,"""The Kingery"" is a full-cast, ongoing sci-fi serial drama with one new episode every month.",Performing Arts,http://www.pendantaudio.com/
"The Lift, An Audio Drama",Return Home,Small Town Horror,The Wicked Library,The Bridge,Todd Faulkner and Alison Crane,Arts,,,,,,116,Uncanny County,4.9569,"Mystical truck drivers. Robots gone haywire. Killer clown demons. And pie. So. Much. Pie. This quirky, darkly comic, Southwestern-flavored anthology brings you a new paranormal audio play every month. Sit back, relax, and hold on tight. Because you're about to take a quick detour...through Uncanny County.",Performing Arts,https://audioboom.com/channel/uncanny-county
iTricks Magic Stars podcast,"iTricks.com Magic News, Magic Videos and Podcasts",Two Magicians. One Mic.,Ellusionist // Magic Beyond Belief Podcast,The Magic Newswire,iTricks,Arts,iTricks.com Penn and Teller Notes » Podcasts,iTricks.com David Copperfield News Podcast » Podcasts,,,,21,iTricks Criss Angel Watch podcast ? Podcasts,4.33333,iTricks weekly podcast of Criss Angel news,Performing Arts,http://itricks.com/angelwatch
The Tunnels Podcast,SABLE,Return Home,Greater Boston,The Elysium Project,The Bridge Podcast,Arts,,,,,,46,The Bridge,4.91303,"It's an alternate 2016, and Watchtower 10 sits in the middle of the Atlantic Ocean, keeping lonely watch over the Transcontinental Bridge. Each watchtower sits hundreds of feet away from the Bridge, broadcasting regular traffic reports to ensure that proper safety precautions are taken. These lighthouses (for cars) are filled with a carefully selected (and very capable) crew. Watchtower 10's necessary personnel happen to be: a generalist DJ who spends her free time relaying folklore from abandoned parts of the Bridge, her supervisor (who's only there because he lost a bet), an unfailingly optimistic Bridge Travel Agent, and a groundskeeper who has a thing for romantic comedies. Unbeknownst to the general public (but totally knownst to each watchtower's crew), these stations also hold a secret that could potentially destroy the world...or save it. The Bridge is a fictional serialized fantasy podcast about the monsters we fear, the monsters we can become, and the stories we leave behind.",Performing Arts,http://thebridgepod.com/
Case Closed! (old time radio),Down These Mean Streets (Old Time Radio Detectives),Old Time Suspense Radio,Boxcars711 Old Time Radio Pod,Relic Radio Thrillers (Old Time Radio),BestFreeAudiobook.com,Arts,,,,,,16,Old Time Mystery Radio,3.5,Great old time mystery radio. Sponsored by BestFreeAudiobook.com This Podcast was created using www.talkshoe.com,Performing Arts,http://www.talkshoe.com/talkshoe/web/tscmd/tc/19647
Darker Projects: Autumn,Darker Projects: Dark Matter,Darker Projects: Alive Inside,Darker Projects: Five Minute Fears,Darker Projects: Far Horizons,DarkerProjects.com,Arts,,,,,,21,Darker Projects: Night Terrors,3.66667,"You live in a land of light and warmth for a third of your life, Another third is spent in the loving embrace of the darkness. But there is a THIRD portion, seperate and distinct from the others, a land of shadow and mystery. A place where your wildest imaginings can become Night Terrors. An Anthology of Horror and Suspense Audio Theater from DarkerProjects.com",Performing Arts,http://darkerprojects-nightterrors.blogspot.com/
"It's About Time - A time travel comedy, modern audio drama",Edict Zero - FIS,Rude Alchemy,"Alba Salix, Royal Physician",Hadron Gospel Hour,Glass & Madera,Arts,,,,,,128,The Once And Future Nerd - A Fantasy-Comedy Audio Drama,4.875,"When three high school students from modern-day Pennsylvania find themselves trapped in a world of wizards, elves, and feudal intrigue, they must learn to survive in their new surroundings, and undertake an epic quest to save the world from the encroaching forces of chaos. WARNING: This Audio Drama contains adult language, graphic descriptions of violence, and explicit discussions of sexuality. This is, of course, in the interest of historical realism. We hope you enjoy our story about wizards and elves. THE ONCE AND FUTURE NERD updates on the second and fourth Sunday of every month. For more, including series news, information about the cast and crew, and bonus content, visit onceandfuturenerd.com, and follow the show on Twitter (@_toafn).",Performing Arts,http://onceandfuturenerd.com/
Jack Benny Show - OTR Podcast!,The Jack Benny Show,Best of Old Time Radio,Just Old Time Radio,RadioAmerica - Old Time Radio,BestFreeAudiobook.com,Arts,,,,,,11,Old Time Comedy Radio,4.45454,Great old time radio comedies. Sponsored by BestFreeAudiobook.com This Podcast was created using www.talkshoe.com,Performing Arts,http://www.talkshoe.com/talkshoe/web/tscmd/tc/19651
Tabula Rasa by Pendant Productions,Genesis Avalon by Pendant Productions,The Dixie Stenberg and Brassy Battalion Adventure Theater by Pendant Productions,Seminar: An original anthology show by Pendant Productions,Red Sands Investigations by Pendant Productions,Pendant Productions,Arts,,,,,,14,The Pendant Shakespeare aka the Wild Bill Variety Show by Pendant Productions,4.78571,"""The Pendant Shakespeare aka The Wild Bill Variety Show"" is an ongoing monthly presentation of the works of William Shakespeare.",Performing Arts,http://www.pendantaudio.com/
The Wicked Library,Midnight Circle,Tales To Terrify,"The Lift, An Audio Drama",Moonlight Audio Theatre,A Haunted Air Audio Drama,Arts,,,,,,69,Campfire Radio Theater,4.95652,Horror radio rises from the dead! Thrill to the chills of a fully dramatized modern horror anthology in the tradition of radio drama classics such as Nightfall and Lights Out! Hear the fear!,Performing Arts,http://campfireradiotheater.podbean.com/
19 Nocturne Boulevard,Moonlight Audio Theatre,ILLUSIONOID,Centauri Express Audio Magazine,A Twilight World of Ultimate Smoothness,sonicsociety@gmail.com,Arts,,,,,,32,The Sonic Society,4.375,Here we have the opportunity to spread stories through the theatre of the mind All across the cyber bi-ways and radial beacons We are inclusive. We are eclectic. We are collective. Join the Society today!,Performing Arts,http://www.sonicsociety.org/
I Love A Good Story Podcast,Porchlight Storytelling Series,2nd Story,West Chester Story Slam,Tell Podcast,The Stoop Storytelling Series,Arts,,,,,,28,The Stoop Storytelling Series,4.92856,"The Stoop showcases the extraordinary true stories of ?ordinary"" people, told in front of live audiences as large as 1,400. Stoop stories are weird, wonderful, hilarious, and heartbreaking ? and, above all, intimate. Founders Laura Wexler and Jessica Henkin host the podcast.",Performing Arts,http://www.stoopstorytelling.com/
Retro Old Time Radio,Radio America,ComicWeb Old Time Radio Programs,Just Old Time Radio,Best of Old Time Radio,Radioamerica,Arts,,,,,,18,RadioAmerica - Old Time Radio,3.33333,"Remember the good old Days, when we could just sit down and listen to a good ole story, the days of glory and honor, come join us at the living room and listen to some fun times. How we could let our hair down and relax. ENJOY THE OTR This Podcast was created using www.talkshoe.com",Performing Arts,http://www.talkshoe.com/talkshoe/web/tscmd/tc/19082
The Once And Future Nerd - A Fantasy-Comedy Audio Drama,Children Of The Gods,Hadron Gospel Hour,Darker Projects: The Byron Chronicles,Our Fair City,Slipgate Nine Entertainment,Arts,,,,,,61,Edict Zero - FIS,4.68851,The science fiction audio drama series produced by Slipgate Nine Entertainment.,Performing Arts,https://edictzero.wordpress.com/
Darker Projects: Far Horizons,Darker Projects: Generation 1,Darker Projects: Sword of Windsor,Darker Projects: Five Minute Fears,Darker Projects: The Falcon Banner,DarkerProjects.com,Arts,,,,,,13,Darker Projects: Dark Matter,4.07692,"An infinite Universe with infinite dark stories, this is Dark Matter, an anthology of original science fiction audio from the darkness of space. Brought to you by Darker Projects www.darkerprojects.com",Performing Arts,http://darkerprojectsdarkmatter.blogspot.com/
Darker Projects: Alive Inside,Darker Projects: Far Horizons,Darker Projects: Night Terrors,Darker Projects: The Falcon Banner,Darker Projects: Dark Matter,DarkerProjects.com,Arts,,,,,,39,Darker Projects: Autumn,3.41026,Darker Projects in association with Infected Books presents David Moody's vision of apocalyptic horror. Complete dramatized novel in 6 episodes.,Performing Arts,http://darkerprojectsautumn.blogspot.com/
ARRVLS,Nocturne,Our Fair City,ars PARADOXICA,Return Home,Ann Heppermann and Martin Johnson,Arts,,,,,,178,Serendipity,4.64045,"Serendipity is radio drama for the 21st century. Presented by your hosts Ann Heppermann and Martin Johnson who have their own story to tell. Serendipity is the podcast of The Sarah Awards, celebrating and rewarding the best audio fiction from around the world. Join the revolution at thesarahawards.com.",Performing Arts,http://www.acast.com/serendipity
Case Closed! (old time radio),Boxcars711 Old Time Radio Pod,Nero Wolfe – The Great Detectives of Old Time Radio,Old Time Mystery Radio,Yours Truly Johnny Dollar – The Great Detectives of Old Time Radio,Mean Streets Podcasts,Arts,,,,,,30,Down These Mean Streets (Old Time Radio Detectives),4.8,"Presenting the best detectives from the Golden Age of Radio. Each week, we'll bring you an episode starring one of Old Time Radio's greatest detectives and the story behind the show. Join us for adventures of Philip Marlowe, Sam Spade, Johnny Dollar, and many more.",Performing Arts,http://downthesemeanstreetspodcast.libsyn.com/
ATW - Downstage Center,ATW - In The Wings,ATW - This Is Broadway,"Broadway Bullet: Theatre from Broadway, Off-Broadway and beyond.",CUNY TV's Theater Talk,American Theatre Wing and CUNY,Arts,,,,,,8,ATW - Working In The Theatre,4.5,"For more than 30 years the American Theatre Wing has been bringing together performers, directors, playwrights, designers, choreographers, producers and behind-the-scenes personnel from the American and international theatre, the seminars offer a rare opportunity for students and audiences to see the people who create theatre engaged in thoughtful conversation with one another. With more than 600 past guests, the seminars have become an unequalled archive of theatrical talk, a chance to hear from the people behind the characters, stories and productions that draw us to the theatre.",Performing Arts,http://americantheatrewing.org/seminars/index.php
Radio 3 Opera Guides,The In Tune A-Z of Opera,Lyric Opera of Chicago Podcasts,Wagner Operas Podcasts,San Diego Opera Podcast,Metropolitan Opera Guild,Arts,,,,,,33,Met Opera Guild Podcast,4.87879,Podcast by Metropolitan Opera Guild,Performing Arts,http://www.metguild.org/index.aspx
Old Time Hero Radio,Old Time Western Radio,Old Time Perry Mason Radio,THE OLD-TIME RADIO HOUR,Old Time Radio - I Love A Mystery,BestFreeAudiobook.com,Arts,,,,,,5,Great Old Time Radio,5.0,Great old time radio. Sponsored by BestFreeAudiobook.com This Podcast was created using www.talkshoe.com,Performing Arts,http://www.talkshoe.com/talkshoe/web/tscmd/tc/19638
